Threat_ID,Threat_Component_ID,Threat,Threat_Narrative,Attack_Precondition,Component,Phase,Attack_Path,Ease_of_Attack,Impact,Severity,Followup,Comment,Control_ID,Control_Narration,NIST800_53r5_Mapping,Mitre_Tactic_ID,Mitre_Technique_ID
TH001,OSS001,Known Vulnerabilities,An attacker exploits known vulnerabilities in the open-source software due to lack of patching.,Unpatched software,Software library,Develop,Exploit publicly available vulnerability,High,"Loss of confidentiality, integrity, or availability",High,Update the software to the latest patched version,Prioritize patching critical vulnerabilities identified through regular security scans.,CN001,"Scan software for vulnerabilities to identify, prioritize, and remediate.","RA-5,SA-3",TA0004 (Initial Access),T1022 (Exploit of Local Software Security Feature)
TH002,OSS002,Compromised Packages,A malicious actor uploads a compromised version of the open-source package to a public repository.,Tampered package repository,Package manager,Develop,Download and installation of the compromised package,Medium,"System compromise, data exfiltration, denial-of-service",High,Implement a package signing and verification process. Use trusted repositories.,null,CN002,Maintain a Software Bill of Materials (SBOM) to track the origin and dependencies of all software used. Integrate vulnerability scanning tools with package managers to identify compromised packages.,CM-10,TA0005 (Defense Evasion),T1105 (Installation of Remote Access Software)
TH003,OSS003,Lack of Support,"The open-source software project is no longer maintained, making it difficult to get security fixes.",End-of-life software,Entire software,Develop,Continued use of unsupported software,Medium,Increased risk of exploitation due to unaddressed vulnerabilities,High,Consider migrating to a different actively maintained open-source project.,null,CN003,Prioritize open source projects with active communities and ongoing support.,"CM-2, CM-5, SI-2",TA0009 (Impact), (Consider techniques related to data persistence or disruption based on impact)
TH004,OSS004,Outdated Dependencies,The open-source software uses outdated libraries with known vulnerabilities.,Outdated dependencies,Software components,Develop,Reliance on vulnerable dependencies,Medium,"System compromise, data exfiltration, denial-of-service",Medium,Regularly update dependencies to the latest secure versions.,null,CN004,Regularly review and update dependency  to ensure timely patching of vulnerabilities.,"CM-2, CM-5, SI-2",TA0004 (Initial Access),T1022 (Exploit of Local Software Security Feature)
TH005,OSS005,Lack of Quality Control,The open-source project has weak coding practices and security review processes.,Poor code quality,Entire software,Develop,Undiscovered vulnerabilities,Medium,Increased risk of exploitation due to potential security flaws,Medium,Evaluate the project's development practices and security posture. Consider alternative projects with strong security practices.,null,CN005,Evaluate the quality and security practices of open source projects before adoption. Utilize static code analysis tools to identify potential vulnerabilities in open source code.,"CM-2, CM-5, SI-2",TA0004 (Initial Access),Techniques may vary depending on specific vulnerabilities introduced
TH006,OSS006,Limited Visibility into Supply Chain,Difficulty in tracing the origin and dependencies of open-source components.,Opaque supply chain,Software components,Develop,Introduction of vulnerabilities through hidden dependencies,Medium,Increased risk of introducing vulnerabilities unknowingly,Medium,Implement Software Composition Analysis (SCA) tools to map dependencies and identify potential risks.,null,CN006,Implement Software Composition Analysis tools to map dependencies and identify potential vulnerabilities across the software supply chain.,"CM-2, CM-5, SI-2",TA0011 (Resource Development),T1195 (Non-Obvious Use of Standard Commands) 
TH007,OSS007,Name Confusion Attacks,An attacker distributes malware disguised as a legitimate open-source project with a similar name.,Deception,Package manager,Develop,Download and installation of the malicious software,Medium,"System compromise, data exfiltration, denial-of-service",Medium,Be cautious of projects with similar names to established open-source software. Verify publisher and code authenticity.,null,CN007,Implement strong package management practices and verify the source of downloaded software.,"CM-2, CM-5, SI-2",TA0005 (Defense Evasion),T1115 (Living Off the Land)
TH008,OSS008,Injection of Malicious Dependencies,An attacker injects malicious code into a dependency used by the open-source software.,Compromised dependency,Software components,Develop,Reliance on a vulnerable dependency,Medium,"System compromise, data exfiltration, denial-of-service",Medium,Implement secure coding practices and dependency management processes for projects.,null,CN008,Implement secure coding practices and dependency management tools to prevent injection of malicious code.,"CM-2, CM-5, SI-2",TA0004 (Initial Access),Techniques may vary depending on the injected code's functionality
TH009,OSS009,License Issues,The open-source software license restricts its use in a specific commercial product.,Incompatible license,Entire software,Develop,Copyright infringement lawsuit,Low,Legal and compliance risks,Low,Carefully review the license terms before using open-source software in commercial applications.,null,CN009,Carefully review open source licenses to understand usage restrictions and potential security implications.,"CM-2, CM-5, SI-2",NA (Not applicable to ATT&CK),NA
TH010,OSS010,Code Reuse Issues,Improper code reuse from another source introduces vulnerabilities.,Code quality issue,Software components,Develop,Unintended vulnerabilities,Low,Potential security weaknesses,Low,Conduct thorough code reviews and security audits to identify potential vulnerabilities.,null,CN010,Implement secure coding practices and regular code review processes to mitigate risks associated with code reuse.,CM-7,TA0004 (Initial Access),T1022 (Exploit of Local Software Security Feature)
